"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Protestantische Theologie";"Mann";"BS";1
"2020";"Master";"Protestantische Theologie";"Mann";"BE";2
"2020";"Master";"Protestantische Theologie";"Mann";"FR";0
"2020";"Master";"Protestantische Theologie";"Mann";"GE";3
"2020";"Master";"Protestantische Theologie";"Mann";"LS";1
"2020";"Master";"Protestantische Theologie";"Mann";"LU";0
"2020";"Master";"Protestantische Theologie";"Mann";"NE";0
"2020";"Master";"Protestantische Theologie";"Mann";"SG";0
"2020";"Master";"Protestantische Theologie";"Mann";"UZH";6
"2020";"Master";"Protestantische Theologie";"Mann";"USI";0
"2020";"Master";"Protestantische Theologie";"Mann";"Andere UI";0
"2020";"Master";"Protestantische Theologie";"Mann";"EPFL";0
"2020";"Master";"Protestantische Theologie";"Mann";"ETHZ";0
"2020";"Master";"Protestantische Theologie";"Frau";"BS";7
"2020";"Master";"Protestantische Theologie";"Frau";"BE";7
"2020";"Master";"Protestantische Theologie";"Frau";"FR";0
"2020";"Master";"Protestantische Theologie";"Frau";"GE";5
"2020";"Master";"Protestantische Theologie";"Frau";"LS";0
"2020";"Master";"Protestantische Theologie";"Frau";"LU";0
"2020";"Master";"Protestantische Theologie";"Frau";"NE";0
"2020";"Master";"Protestantische Theologie";"Frau";"SG";0
"2020";"Master";"Protestantische Theologie";"Frau";"UZH";9
"2020";"Master";"Protestantische Theologie";"Frau";"USI";0
"2020";"Master";"Protestantische Theologie";"Frau";"Andere UI";0
"2020";"Master";"Protestantische Theologie";"Frau";"EPFL";0
"2020";"Master";"Protestantische Theologie";"Frau";"ETHZ";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"BS";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"BE";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"FR";10
"2020";"Master";"Römisch-katholische Theologie";"Mann";"GE";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"LS";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"LU";4
"2020";"Master";"Römisch-katholische Theologie";"Mann";"NE";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"SG";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"UZH";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"USI";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"Andere UI";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"EPFL";0
"2020";"Master";"Römisch-katholische Theologie";"Mann";"ETHZ";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"BS";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"BE";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"FR";2
"2020";"Master";"Römisch-katholische Theologie";"Frau";"GE";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"LS";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"LU";9
"2020";"Master";"Römisch-katholische Theologie";"Frau";"NE";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"SG";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"UZH";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"USI";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"Andere UI";0
"2020";"Master";"Römisch-katholische Theologie";"Frau";"EPFL";0
